Singular,Plural,Gloss,Sing-Pattern,Plur-Pattern,Plural-type,suffix,prefix
naTiq,naTiqin,speaker,CVCVC,CVCVCVC,sound,at,
na?a?,na?a?at,success,CVCVC,CVCVCVC,sound,at,
niqa?,niqa?at,discussion,CVCVC,CVCVCVC,sound,at,
qarar,qararat,decision,CVCVC,CVCVCVC,sound,at,
?araD,?araDat,business,CVCVC,CVCVCVC,sound,at,
?iyab,?iyabat,absence,CVCVC,CVCVCVC,sound,at,
Salon,Salonat,gallery,CVCVC,CVCVCVC,sound,at,
siyaq,siyaqat,context,CVCVC,CVCVCVC,sound,at,
Sira?,Sira?at,conflict,CVCVC,CVCVCVC,sound,at,
?i?ar,?i?arat,slogan,CVCVC,CVCVCVC,sound,at,
SuniT,SuniTat,bell,CVCVC,CVCVCVC,sound,at,
Talab,Talabat,request,CVCVC,CVCVCVC,sound,at,
tiran,tiranat,field,CVCVC,CVCVCVC,sound,at,
Tobis,Tobisat,bus,CVCVC,CVCVCVC,sound,at,
vila?,vila?at,village,CVCVC,CVCVCVC,sound,at,
xiTab,xiTabat,speech,CVCVC,CVCVCVC,sound,at,
?ila?,?ila?at,treatment,CVCVC,CVCVCVC,sound,at,
?iTa?,?iTa?at,floor,CVCVC,CVCVCVC,sound,at,
xayal,xayalat,imagination,CVCVC,CVCVCVC,sound,at,
?iqa?,?iqa?at,rhythm,CVCVC,CVCVCVC,sound,at,
Talab,Talabat,demand,CVCVC,CVCVCVC,sound,at,
Talab,Talabat,application,CVCVC,CVCVCVC,sound,at,
sanad,sanadat,bonds,CVCVC,CVCVCVC,sound,at,
ma?al,ma?alat,shop,CVCVC,CVCVCVC,sound,at,
niqa?,niqa?at,discussion,CVCVC,CVCVCVC,sound,at,
?iyab,?iyabat,absence,CVCVC,CVCVCVC,sound,at,
maqal,maqalat,essay,CVCVC,CVCVCVC,sound,at,
tiran,tiranat,stadium,CVCVC,CVCVCVC,sound,at,
sibaq,sibaqat,race,CVCVC,CVCVCVC,sound,at,
bidaya,bidayat,start,CVCVCV,CVCVCVC,sound,at,
binaya,binayat,structure,CVCVCV,CVCVCVC,sound,at,
biTaqa,biTaqat,card,CVCVCV,CVCVCVC,sound,at,
botona,botonat,button,CVCVCV,CVCVCVC,sound,at,
Dara?a,Dara?at,degree,CVCVCV,CVCVCVC,sound,at,
?aDara,?aDarat,civilization,CVCVCV,CVCVCVC,sound,at,
?araka,?arakat,movement,CVCVCV,CVCVCVC,sound,at,
?ukuma,?ukumat,government,CVCVCV,CVCVCVC,sound,at,
huwiya,huwiyat,identity,CVCVCV,CVCVCVC,sound,at,
kabina,kabinat,toilet,CVCVCV,CVCVCVC,sound,at,
kafa?a,kafa?at,efficiency,CVCVCV,CVCVCVC,sound,at,
karama,karamat,dignity,CVCVCV,CVCVCVC,sound,at,
kuzina,kuzinat,kitchen,CVCVCV,CVCVCVC,sound,at,
mahara,maharat,skill,CVCVCV,CVCVCVC,sound,at,
makina,makinat,machine,CVCVCV,CVCVCVC,sound,at,
malika,malikat,queen,CVCVCV,CVCVCVC,sound,at,
masafa,masafat,distance,CVCVCV,CVCVCVC,sound,at,
masira,masirat,march,CVCVCV,CVCVCVC,sound,at,
misa?a,misa?at,space,CVCVCV,CVCVCVC,sound,at,
musiqa,musiqat,music,CVCVCV,CVCVCVC,sound,at,
nihaya,nihayat,end,CVCVCV,CVCVCVC,sound,at,
pikala,pikalat,bicycle,CVCVCV,CVCVCVC,sound,at,
qiyada,qiyadat,leadership,CVCVCV,CVCVCVC,sound,at,
riyaDa,riyaDat,sport,CVCVCV,CVCVCVC,sound,at,
Sabona,Sabonat,soap,CVCVCV,CVCVCVC,sound,at,
SaDaqa,SaDaqat,charity,CVCVCV,CVCVCVC,sound,at,
?araka,?arakat,partnership,CVCVCV,CVCVCVC,sound,at,
?arika,?arikat,company,CVCVCV,CVCVCVC,sound,at,
siyada,siyadat,sovereignty,CVCVCV,CVCVCVC,sound,at,
siyasa,siyasat,politics,CVCVCV,CVCVCVC,sound,at,
?ikaya,?ikayat,complaint,CVCVCV,CVCVCVC,sound,at,
simana,simanat,week,CVCVCV,CVCVCVC,sound,at,
Sina?a,Sina?at,industry,CVCVCV,CVCVCVC,sound,at,
So?oba,So?obat,difficulty,CVCVCV,CVCVCVC,sound,at,
taqafa,taqafat,culture,CVCVCV,CVCVCVC,sound,at,
wakala,wakalat,agency,CVCVCV,CVCVCVC,sound,at,
walida,walidat,mum,CVCVCV,CVCVCVC,sound,at,
wizara,wizarat,ministry,CVCVCV,CVCVCVC,sound,at,
xaTiba,xaTibat,fiancee,CVCVCV,CVCVCVC,sound,at,
xizana,xizanat,cabinet,CVCVCV,CVCVCVC,sound,at,
?ami?a,?ami?at,university,CVCVCV,CVCVCVC,sound,at,
?adawa,?adawat,hate,CVCVCV,CVCVCVC,sound,at,
?alama,?alamat,sign,CVCVCV,CVCVCVC,sound,at,
?alaqa,?alaqat,relationship,CVCVCV,CVCVCVC,sound,at,
?anisa,?anisat,miss,CVCVCV,CVCVCVC,sound,at,
?ariDa,?ariDat,petition,CVCVCV,CVCVCVC,sound,at,
?a?ila,?a?ilat,family,CVCVCV,CVCVCVC,sound,at,
?ibada,?ibadat,genocide,CVCVCV,CVCVCVC,sound,at,
?iDara,?iDarat,management,CVCVCV,CVCVCVC,sound,at,
?ida?a,?ida?at,channel,CVCVCV,CVCVCVC,sound,at,
?iyada,?iyadat,cabinet,CVCVCV,CVCVCVC,sound,at,
?imara,?imarat,building,CVCVCV,CVCVCVC,sound,at,
?iSaba,?iSabat,injury,CVCVCV,CVCVCVC,sound,at,
?i?ara,?i?arat,sign,CVCVCV,CVCVCVC,sound,at,
?isa?a,?isa?at,abuse,CVCVCV,CVCVCVC,sound,at,
?uquba,?uqubat,sanction,CVCVCV,CVCVCVC,sound,at,
ziyara,ziyarat,visit,CVCVCV,CVCVCVC,sound,at,
zarafa,zarafat,giraffe,CVCVCV,CVCVCVC,sound,at,
fara?a,fara?at,butterfly,CVCVCV,CVCVCVC,sound,at,
namusa,namusat,mosquito,CVCVCV,CVCVCVC,sound,at,
?a?ara,?a?arat,insect,CVCVCV,CVCVCVC,sound,at,
taqafa,taqafat,culture,CVCVCV,CVCVCVC,sound,at,
riwaya,riwayat,novel,CVCVCV,CVCVCVC,sound,at,
kasiTa,kasiTat,tape,CVCVCV,CVCVCVC,sound,at,
pi?ama,pi?amat,pajamas,CVCVCV,CVCVCVC,sound,at,
Tagiya,Tagiyat,skullcap,CVCVCV,CVCVCVC,sound,at,
ti?ara,ti?arat,commerce,CVCVCV,CVCVCVC,sound,at,
Sina?a,Sina?at,industry,CVCVCV,CVCVCVC,sound,at,
zira?a,zira?at,agriculture,CVCVCV,CVCVCVC,sound,at,
riyaDa,riyaDat,sport,CVCVCV,CVCVCVC,sound,at,
?ami?a,?ami?at,university,CVCVCV,CVCVCVC,sound,at,
?idara,?idarat,administration,CVCVCV,CVCVCVC,sound,at,
Tawila,Tawilat,bench,CVCVCV,CVCVCVC,sound,at,
?aDana,?aDanat,nursery school,CVCVCV,CVCVCVC,sound,at,
?a?ila,?a?ilat,family,CVCVCV,CVCVCVC,sound,at,
?aDala,?aDalat,muscle,CVCVCV,CVCVCVC,sound,at,
riyaDa,riyaDat,sport,CVCVCV,CVCVCVC,sound,at,
hiwaya,hiwayat,hobby,CVCVCV,CVCVCVC,sound,at,
boTola,boTolat,league,CVCVCV,CVCVCVC,sound,at,
simana,simanat,week,CVCVCV,CVCVCVC,sound,at,
magana,maganat,clock,CVCVCV,CVCVCVC,sound,at,
?arika,?arikat,company,CVCVCV,CVCVCVC,sound,at,
mizaniyya,mizaniyyat,budget,CVCVCVCCV,CVCVCVCCVC,sound,at,
namusiyya,namusiyyat,bed,CVCVCVCCV,CVCVCVCCVC,sound,at,
?amaliyya,?amaliyyat,process,CVCVCVCCV,CVCVCVCCVC,sound,at,
mikanisyan,mikanisyanat,mechanic,CVCVCVCCVC,CVCVCVCCVCVC,sound,at,
Darora,Daroriyat,necessity,CVCVCV,CVCVCVCVC,sound,at,
lavabo,lavabowat,sink,CVCVCV,CVCVCVCVC,sound,at,
?asasi,?asasiyat,basic,CVCVCV,CVCVCVCVC,sound,at,
?ayawan,?ayawanat,animal,CVCVCVC,CVCVCVCVC,sound,at,
muwaTin,muwaTinin,citizen,CVCVCVC,CVCVCVCVC,sound,at,
parabol,parabolat,tv receiver,CVCVCVC,CVCVCVCVC,sound,at,
tabadul,tabadulat,exchange,CVCVCVC,CVCVCVCVC,sound,at,
tawazun,tawazunat,balance,CVCVCVC,CVCVCVCVC,sound,at,
tilifun,tilifunat,telephone,CVCVCVC,CVCVCVCVC,sound,at,
tilifun,tilifunat,phone,CVCVCVC,CVCVCVCVC,sound,at,
?ayawan,?ayawanat,animal,CVCVCVC,CVCVCVCVC,sound,at,
tamatul,tamatulat,symmetry,CVCVCVC,CVCVCVCVC,sound,at,
makiya?,makiya?at,makeup,CVCVCVC,CVCVCVCVC,sound,at,
fayaDan,fayaDanat,flood,CVCVCVC,CVCVCVCVC,sound,at,
mobadara,mobadarat,initiative,CVCVCVCV,CVCVCVCVC,sound,at,
mo?aDara,mo?aDarat,conference,CVCVCVCV,CVCVCVCVC,sound,at,
mo?akama,mo?akamat,trial,CVCVCVCV,CVCVCVCVC,sound,at,
moqarana,moqaranat,comparison,CVCVCVCV,CVCVCVCVC,sound,at,
moqawala,moqawalat,enterprise,CVCVCVCV,CVCVCVCVC,sound,at,
mora?a?a,mora?a?at,review,CVCVCVCV,CVCVCVCVC,sound,at,
moSabaqa,moSabaqat,competition,CVCVCVCV,CVCVCVCVC,sound,at,
moTalaba,moTalabat,claim,CVCVCVCV,CVCVCVCVC,sound,at,
mo?araDa,mo?araDat,opposition,CVCVCVCV,CVCVCVCVC,sound,at,
mufa?a?a,mufa?a?at,surprise,CVCVCVCV,CVCVCVCVC,sound,at,
mu?adata,mu?adatat,conversation,CVCVCVCV,CVCVCVCVC,sound,at,
mu?awala,mu?awalat,attempt,CVCVCVCV,CVCVCVCVC,sound,at,
mukalama,mukalamat,call,CVCVCVCV,CVCVCVCVC,sound,at,
muqaTa?a,muqaTa?at,county,CVCVCVCV,CVCVCVCVC,sound,at,
muSala?a,muSala?at,conciliation,CVCVCVCV,CVCVCVCVC,sound,at,
mu?araka,mu?arakat,contribution,CVCVCVCV,CVCVCVCVC,sound,at,
musa?ada,musa?adat,help,CVCVCVCV,CVCVCVCVC,sound,at,
muwafaqa,muwafaqat,approval,CVCVCVCV,CVCVCVCVC,sound,at,
mu?ahada,mu?ahadat,treaty,CVCVCVCV,CVCVCVCVC,sound,at,
mu?amala,mu?amalat,treatment,CVCVCVCV,CVCVCVCVC,sound,at,
naDariya,naDariyat,theory,CVCVCVCV,CVCVCVCVC,sound,at,
Tomobila,Tomobilat,car,CVCVCVCV,CVCVCVCVC,sound,at,
moqawala,moqawalat,enterprise,CVCVCVCV,CVCVCVCVC,sound,at,
mizaniya,mizaniyat,budget,CVCVCVCV,CVCVCVCVC,sound,at,
mo?adala,mo?adalat,equation,CVCVCVCV,CVCVCVCVC,sound,at,
monasaba,monasabat,occasion,CVCVCVCV,CVCVCVCVC,sound,at,
telecomond,telecomondat,remote control,CVCVcVCVCC,CVCVcVCVCCVC,sound,at,
tilikumonD,tilikumonDat,remote control,CVCVCVCVCC,CVCVCVCVCCVC,sound,at,
zira?a,zira?aat,agriculture,CVCVCV,CVCVCVVC,sound,at,
kamiu,kamiunat,truck,CVCVV,CVCVVCVC,sound,at,
i?har,i?harat,advertisement,VCCVC,VCCVCVC,sound,at,
bal??,bal?in,adult,CVC?C,CVCCVC,sound,in,
bari?,bari?in,innocent,CVCVC,CVCVCVC,sound,in,
berlamani,berlamaniyin,deputy,CVCCVCVCV,CVCCVCVCVCVC,sound,in,
bnad?m,bnadmin,human,CCVC?C,CCVCCVC,sound,in,
faDa?i,faDa?iyin,alien,CVCVCV,CVCVCVCVC,sound,in,
?am?D,?amDin,acid,CVC?C,CVCCVC,sound,in,
kam?l,kamlin,whole,CVC?C,CVCCVC,sound,in,
la?ib,la?ibin,player,CVCVC,CVCVCVC,sound,in,
m?staq?ll,m?staq?llin,independent,C?CCVC?CC,C?CCVC?CCVC,sound,in,
m?zyan,m?zyanin,well,C?CCVC,C?CCVCVC,sound,in,
morahiq,morahiqin,teenager,CVCVCVC,CVCVCVCVC,sound,in,
mor???a?,mor???a?in,candidate,CVC?CCVC,CVC?CCVCVC,sound,in,
mottaham,mottahamin,accused,CVCCVCVC,CVCCVCVCVC,sound,in,
mudnib,mudnibin,guilty,CVCCVC,CVCCVCVC,sound,in,
muha?ir,muha?irin,immigrant,CVCVCVC,CVCVCVCVC,sound,in,
mu?amir,mu?amirin,adventurous,CVCVCVC,CVCVCVCVC,sound,in,
musta?ar,musta?arin,chancellor,CVCCVCVC,CVCCVCVCVC,sound,in,
must?hlik,must?hlikin,consumer,CVCC?CCVC,CVCC?CCVCVC,sound,in,
mu??llif,mu??llifin,author,CVC?CCVC,CVC?CCVCVC,sound,in,
mu??llim,mu??llimin,teacher,CVC?CCVC,CVC?CCVCVC,sound,in,
r??l,r??lin,leg,CC?C,C?CCVC,sound,in,
?amali,?amaliyyin,northern,CVCVCV,CVCVCVCCVC,sound,in,
xayn,xaynin,traitor,CVCC,CVCCVC,sound,in,
y?d,y?ddin,hand,C?C,C?CCVC,sound,in,
?unwan,?anawin,title,CVCCVC,CVCVCVC,sound,in,
?axor,?axrin,other,CVCVC,CVCCVC,sound,in,
riwa?i,riwa?iyin,novelist,CVCVCV,CVCVCVCVC,sound,in,
muxri?,muxri?in,film director,CVCCVC,CVCCVCVC,sound,in,
mum?ttil,mom?ttilin,actor,CVC?CCVC,CVC?CCVCVC,sound,in,
zwin,zwinin,beautiful,CCVC,CCVCVC,sound,in,
???bi,???biyin,popular,C?CCV,C?CCVCVC,sound,in,
mo??nni,mo??nniyin,singer,CVC?CCV,CVC?CCVCVC,sound,in,
limuni,limuniyin,orange,CVCVCV,CVCVCVCVC,sound,in,
q?hwi,q?hwiyin,brown,C?CCV,C?CCVCVC,sound,in,
quqi,quqiyin,purple,CVCV,CVCVCVC,sound,in,
Sf?r,S?frin,yellow,CC?C,C?CCVC,sound,in,
d?hbi,d?hbiyin,gold,C?CCV,C?CCVCVC,sound,in,
m??luq,m??luqin,dark,C?CCVC,C?CCVCVC,sound,in,
m?ftu?,m?ftu?in,light,C?CCVC,C?CCVCVC,sound,in,
m??mm??,m??mm?in,sunny,CC?CC?C,CC?CCCVC,sound,in,
r??l,r??lin,foot,CC?C,C?CCVC,sound,in,
y?dd,y?ddin,hand,C?CC,C?CCVC,sound,in,
?in,?inin,eye,CVC,CVCVC,sound,in,
wd?n,w?dnin,ear,CC?C,C?CCVC,sound,in,
muh?ndis,muh?ndisin,engineer,CVC?CCVC,CVC?CCVCVC,sound,in,
Sa?afi,Sa?afiyin,journalist,CVCVCV,CVCVCVCVC,sound,in,
mu?ami,mu?amiyin,lawyer,CVCVCV,CVCVCVCVC,sound,in,
bulisi,bulisiyin,cop,CVCVCV,CVCVCVCVC,sound,in,
moS?wwir,moS?wwirin,photographer,CVC?CCVC,CVC?CCVCVC,sound,in,
mosta?ar,mosta?arin,advisor,CVCCVCVC,CVCCVCVCVC,sound,in,
moqawil,moqawilin,entrepreneur,CVCVCVC,CVCVCVCVC,sound,in,
mow?DDaf,mow?DDafin,employee,CVC?CCVC,CVC?CCVCVC,sound,in,
x?rraz,x?rrazin,shoemaker,C?CCVC,C?CCVCVC,sound,in,
mo??lliq,mo??lliqin,sports commentator,CVC?CCVC,CVC?CCVCVC,sound,in,
moha?im,moha?imin,attacker,CVCVCVC,CVCVCVCVC,sound,in,
modafi?,modafi?in,defender,CVCVCVC,CVCVCVCVC,sound,in,
mud?rrib,mud?rribin,coach,CVC?CCVC,CVC?CCVCVC,sound,in,
biyya?,biyya?a,seller,CVCCVC,CVCCVCV,sound,a,
??rray,??rraya,buyer,C?CCVC,C?CCVCV,sound,a,
b?znas,bznasa,drug dealer,C?CCVC,CCCVCV,sound,a,
kliyan,kliyana,client,CCVCVC,CCVCVCV,sound,a,
????am,????ama,barber,C?CCVC,C?CCVCV,sound,a,
??llaq,??llaqa,barber,C?CCVC,C?CCVCV,sound,a,
g?zzar,g?zzara,butcher,C?CCVC,C?CCVCV,sound,a,
f?nnan,f?nnana,artist,C?CCVC,C?CCVCV,sound,a,
trisyan,trisyana,electrician,CCVCCVC,CCVCCVCV,sound,a,
f?lla?,f?lla?a,peasant,C?CCVC,C?CCVCV,sound,a,
?adarmi,?adarmiya,gendarme,CVCVCCV,CVCVCCVCV,sound,a,
r?ssam,r?ssama,painter,C?CCVC,C?CCVCV,sound,a,
s?rbay,s?rbaya,waiter,C?CCVC,C?CCVCV,sound,a,
x?yyaT,x?yyaTa,tailor,C?CCVC,C?CCVCV,sound,a,
plombi,plombiya,plumber,CCVCCV,CCVCCVCV,sound,a,
x?DDar,x?DDara,greengrocer,C?CCVC,C?CCVCV,sound,a,
n???ar,n???ara,carpenter,C?CCVC,C?CCVCV,sound,a,
?rayfi,?rayfiya,craftsperson,CCVCCV,CCVCCVCV,sound,a,
S?bba?,S?bba?a,painter,C?CCVC,C?CCVCV,sound,a,
n???at,n???ata,sculptor,C?CCVC,C?CCVCV,sound,a,
?ifor,?ifora,driver,CVCVC,CVCVCV,sound,a,
???a?,???a?a,cheater,CCCVC,CCCVCV,sound,a,
f?nnan,f?nnana,artist,C?CCVC,C?CCVCV,sound,a,
??bbas,??bbasa,prisoner,C?CCVC,C?CCVCV,sound,a,
??rrag,??rraga,illegal immigrant,C?CCVC,C?CCVCV,sound,a,
l???ab,l???aba,player,C?CCVC,C?CCVCV,sound,a,
S?bbar,S?bbara,patient,C?CCVC,C?CCVCV,sound,a,
??ffar,??ffara,thief,C?CCVC,C?CCVCV,sound,a,
gardkor,gardkora,bodyguard,CVCCCVC,CVCCCVCV,sound,a,
burs,leburs,grant,CVCC,CVCVCC,,,le
capita?,lecapita?,captain,CVCVCV,CVCVCVCV,,,le
deser,ledeser,fruit,CVCVC,CVCVCVC,,,le
eksper,lezeksper,expert,VCCCVC,CVCVCCCVC,,,le
gazo?,legazo?,grass,CVCV,CVCVCV,,,le
gid,legid,guide,CVC,CVCVC,,,le
karyer,lekaryer,career,CVCCVC,CVCVCCVC,,,le
klian,leklian,consumer,CCVVC,CVCCVVC,,,le
konSir,lekonSir,cancer,CVCCVC,CVCVCCVC,,,le
konTakt,lekonTakt,contact,CVCCVCC,CVCVCCVCC,,,le
magaza,lemagaza,store,CVCVCV,CVCVCVCV,,,le
ontx?tya?,lezontx?tya?,interview,VCCC?CCV,CVCVCCC?CCV,,,le
pisin,lepisin,pool,CVCVC,CVCVCVC,,,le
pla?,lepla?,beach,CCVC,CVCCVC,,,le
plizir,leplizir,pleasure,CCVCVC,CVCCVCVC,,,le
prof,leprof,professor,CCVC,CVCCVC,,,le
program,leprogram,program,CCVCCVC,CVCCVCCVC,,,le
rezo,lerezo,network,CVCV,CVCVCV,,,le
ri?im,leri?im,diet,CVCVC,CVCVCVC,,,le
?ar?ur,le?ar?ur,charger,CVCCVC,CVCVCCVC,,,le
seks,leseks,sex,CVCC,CVCVCC,,,le
SolD,leSolD,sale,CVCC,CVCVCC,,,le
Sonri,leSonri,tone,CVCCV,CVCVCCV,,,le
sTasyo?,lesTasyo?,station,CCVCCV,CVCCVCCV,,,le
tekst,letekst,text,CVCCC,CVCVCCC,,,le
tro?spor,letro?spor,transport,CCVCCVC,CVCCVCCVC,,,le
vol,levol,flight,CVC,CVVVC,,,le
wikand,lewikand,weekend,CVCVCC,CVCVCVCC,,,le
?aSora?S,lezaSora?S,insurance,CVCVCVC,CVCVCVCVC,,,le
?avo?ta?,lezavo?ta?,advantage,CVCVCVC,CVCVCVCVC,,,le
krvet,lekrvet,shrimps,CCVCVC,CVCCVCVC,,,le
pyano,lepyano,piano,CCVCV,CVCCVCV,,,le
gitar,legitar,guitar,CVCVC,CVCVCVC,,,le
lasal,lesal,gym,CVCVC,CVCVC,,,le
